KakaoTalk Chats 자바 프로그래밍 전체톡 (24)
Date Saved : May 28, 2018, 9:46 AM


March 3, 2018, 12:52 AM
April 11, 2018, 9:58 PM, 박세은 : 다시 하니 이렇게 됩니다...
April 11, 2018, 9:58 PM, 박세은 : 커밋이 안됐는데도요!
April 11, 2018, 9:58 PM, 남재창 : 푸쉬 대했네
April 11, 2018, 9:58 PM, 박세은 : 깃허브에서는 뜨지않습니다
April 11, 2018, 9:58 PM, 남재창 : git status쳐서 화면 보내봐요
April 11, 2018, 9:59 PM, 남재창 : 커밋을 안해서 그런 것임
April 11, 2018, 9:59 PM, 남재창 : 커밋 먼저 하고 푸쉬해요
April 11, 2018, 9:59 PM, 박세은 : 커밋 커맨드는 그냥 하면 되나요?
April 11, 2018, 9:59 PM, 남재창 : 이클립스에사 해요
April 11, 2018, 10:05 PM, 박세은 : 커밋을 했는데, 반응이 없는것같습니다ㅠ
April 11, 2018, 10:06 PM, 남재창 : Git status 쳐서 나온 캡쳐해서보내봐요
April 11, 2018, 10:10 PM, 박세은 : <Photo>
April 11, 2018, 10:11 PM, 남재창 : git commit -a -m "add code"
April 11, 2018, 10:11 PM, 남재창 : 이거해봐요
April 11, 2018, 10:13 PM, 남재창 : 뭔가 꼬인 것 같은데...
April 11, 2018, 10:14 PM, 박세은 : 했습니다 교수님!
April 11, 2018, 10:14 PM, 박세은 : <Photo>
April 11, 2018, 10:15 PM, 남재창 : 그럼 푸쉬해요 이제
April 11, 2018, 10:17 PM, 박세은 : 푸쉬 됐습니다..! 감사합니다
April 11, 2018, 10:17 PM, 남재창 : 오케이 굳

April 12, 2018, 9:35 AM
April 12, 2018, 9:35 AM, you : 예를 들어서 깃허브에 잘못된 파일을 푸쉬했거나 하는 경우에 그 레포지토리에서 그 파일을 삭제하고 싶을때는 어떻게 해야하나요?
April 12, 2018, 8:22 PM, 한정섭 : <Photo>
April 12, 2018, 8:23 PM, 한정섭 : 교수님 수업시간에 github에 있던 코드인데 28번째줄에 entry가 어디에 선언되어있는 변수인가요?
April 12, 2018, 8:24 PM, 한정섭 : 찾았습니다 죄송합니다 ㅠㅠ
April 12, 2018, 8:57 PM, 남재창 : 죄송하긴...원래 등잔 밑이 어두운 거니까... :)
April 12, 2018, 9:20 PM, 남재창 : 중간고사 시험문제 20개…https://docs.google.com/document/d/13IO5K_3DCzCGuFX3uZNTrSihhZVSOdh1ug_Rqc3ggxA/edit?usp=sharing
April 12, 2018, 9:21 PM, 남재창 : 아무나 편집할 수 있으니 공부 잘하는 사람들 답을 적어주세요. 다른 친구들도 공부할 수 있게.
April 12, 2018, 9:23 PM, 남재창 : 렉터 노트 슬라이드에 그림들이랑 답들이 거의 다 있어요. 공부하면서 깨달은 것들 정리해 주세요. 너무 길게 쓰면 시험칠 때 힘드니까 핵심만 짧게 짧게 정리해줘요.
April 12, 2018, 9:25 PM, 남재창 : 그렇다고 너무 짧게는 말고...;;;
April 12, 2018, 9:28 PM, 이상현 : 네 교수님ㅎㅎ
April 12, 2018, 9:35 PM, Synergy : 네 감사합니다~!!

April 16, 2018, 9:41 AM
April 16, 2018, 9:41 AM, you : 음식?
April 16, 2018, 9:41 AM, 도영 : 직장?
April 16, 2018, 9:43 AM, you : 비슷한 종류의 개념을 나열하는게 아니라 좀더 넓은 범위의 상위 개념에 포함되는 하위 개념을 상위 개념에 상속된다라고 이해하면 되는 건가요?
April 16, 2018, 9:48 AM, 한정섭 : 상위 개념에 있는게 하위에 있는 것들이 상속 받는다.
April 16, 2018, 9:50 AM, you : 상위 개념= 일반적인 요소들을 포함하는 개념. 하위 개념= 상위 개념으로부터 일반적인 요소들을 상속받아 상세한 요소들이 추가된 개념
April 16, 2018, 10:29 AM, ㅇ : 그럼 메인 함수를 펄슨에 둬야 하나요? 아니면 그냥 따로 만드나요?
April 16, 2018, 10:30 AM, you : 메인은 따로 실행하는 클래스에 있고 일반적으로 정의하는 용도로 사용되는 클래스에는 메인이 없지 않나요?
April 16, 2018, 10:30 AM, ㅇ : 그렇군요 감사합니당
April 16, 2018, 10:52 AM, ㅇ : 자바 소스파일을 바꾸는게 컴파일이라고 하셨는데 자바클래스->바이트코드->머신랭귀지니까 두번 컴파일 하는게 아닌가요? 왜 컴파일이랑은 다르다고 하셨는지 차이를 모르겠습니다.
April 16, 2018, 10:54 AM, ㅇ : 감사합니다!
April 16, 2018, 10:56 PM, 21500002 : 교수님 중간고사 문서에 메모로만 답을 달아야하나요?
April 16, 2018, 10:57 PM, 남재창 : 아뇨 본문에 바로 달아요
April 16, 2018, 11:00 PM, 21500002 : 넵 감사합니다

April 18, 2018, 12:04 AM
April 18, 2018, 12:04 AM, 남재창 : 중간고사 마지막 문제는 수업시간에 함께 작성했던 코드에 대해 single line comment다는 문제 나옵니다.
April 18, 2018, 12:05 AM, 남재창 : 시험 문제 다 출제했어요. 끝까지 화이팅!
April 18, 2018, 12:07 AM, 정희석 : 감사합니다~
April 18, 2018, 12:08 AM, 김기범 : 감사합니다!!
April 18, 2018, 5:02 PM, 정희석 : <Photo>
April 18, 2018, 5:03 PM, 정희석 : 교수님 여기에 인풋은 무슨역할을 하는건가요?
April 18, 2018, 5:10 PM, 남재창 : 사용자가 프로그램 시작 혹은 작동중에 입력하는 인풋과 프로그램 밖에서 프로그램으로 입력되는 모든 데이터.
April 18, 2018, 5:10 PM, 남재창 : 스캐너로 입력받은 스트링도 여기에 포함
April 18, 2018, 5:10 PM, 정희석 : 아하 감사합니다!
April 18, 2018, 8:44 PM, 성빈 : 중간고사 문제 오른쪽에 discuss창에 해결을 누르니깐 창이 사라지네요.. 어떤 학우님께서 열심히 쓰신게 사라져버렸어요 ㅠㅠ. 어떻게 다시 되돌리죠?
April 18, 2018, 8:46 PM, 성빈 : 다시 생겼네요.. 감사합니다
April 18, 2018, 9:39 PM, Synergy : <Photo>
April 18, 2018, 9:41 PM, Synergy : 교수님 String을 instatantiation없이 사용할때는 왜 "==" 연산자가 성립하는건가요? 저는 String을 그냥 static class 정도로 생각했는데 instatnciate한것과 안한것이 다르게 행동하여 궁금하여 질문합니다
April 18, 2018, 10:08 PM, 남재창 : String을 instantiation없이 사용하는 경우가 어떤 경우죠?
April 18, 2018, 10:15 PM, Synergy : 위의 사진 처럼 사용하는 거요!
April 18, 2018, 10:15 PM, 남재창 : 저거 출력하면 답이 뭐 나와요?
April 18, 2018, 10:15 PM, 남재창 : true나와요?
April 18, 2018, 10:20 PM, 남재창 : true가 나오네...
April 18, 2018, 10:21 PM, 남재창 : https://stackoverflow.com/questions/513832/how-do-i-compare-strings-in-java?utm_medium=organic&utm_source=google_rich_qa&utm_campaign=google_rich_qa
April 18, 2018, 10:21 PM, 남재창 : interned string이라고 나오는데, 위와 같은 경우는 true가 나오네요.
April 18, 2018, 10:22 PM, 남재창 : 시험 문제에는  interned된게 아니라 instantiation으로 스트링 만든거로 생각하고 문제 풀면 되요.
April 18, 2018, 10:24 PM, 남재창 : 개인적으로 이런식의 언어 설계는 좋아 보이지 않네요. 개발자들 헷갈리고 실수하기 딱 좋은 건데...이렇게 일관성이 없으면...
April 18, 2018, 10:24 PM, 김태현 : 교수님 13번의 정답 그림을 이렇게 생각했는데 옳게 이해한건가요??
April 18, 2018, 10:24 PM, 김태현 : <Photo>
April 18, 2018, 10:24 PM, 남재창 : 네
April 18, 2018, 10:24 PM, 남재창 : 맞습니다.
April 18, 2018, 10:24 PM, 남재창 : 그런데 왼쪽 그림은 뭐지?
April 18, 2018, 10:25 PM, 김태현 : non-static의 경우도 그림으로 나타내야하는 것 아닌가요??
April 18, 2018, 10:25 PM, 남재창 : 아닌데
April 18, 2018, 10:25 PM, 김태현 : 아 그러면 오른쪽에 있는 그림만 그리면 되는건가요??
April 18, 2018, 10:26 PM, 남재창 : 아 그건 클래스 설계에 따라 맞게 그리면 되요
April 18, 2018, 10:27 PM, 남재창 : 클래스 그림에 맞는 메모리 상태 그림...
April 18, 2018, 10:27 PM, 김태현 : <Photo>
April 18, 2018, 10:27 PM, 김태현 : 이걸 그냥 다 그리면 된다는 말씀이신가요??
April 18, 2018, 10:27 PM, 남재창 : 왼쪽은 좀 이상해요. 왜  mDescription이 인스턴스 별로 따로 밖으로 있는건지>
April 18, 2018, 10:27 PM, 남재창 : ?
April 18, 2018, 10:27 PM, 남재창 : 아뇨
April 18, 2018, 10:27 PM, 남재창 : 클래스만 보여주면
April 18, 2018, 10:28 PM, 남재창 : 클래스에 맞게 오른쪽 그림을 그리면 되요.
April 18, 2018, 10:28 PM, 남재창 : 문제에서 클래스는 보여줘요.
April 18, 2018, 10:28 PM, 남재창 : 다들 공부 열심히 하네 :)
April 18, 2018, 10:30 PM, 김태현 : 아하 감사합니다!!
April 18, 2018, 10:30 PM, Synergy : 아 이제 봤네요 감사합니다 교수님! 
April 18, 2018, 11:06 PM, 성빈 : protected가 외부 package의 sub-class가 접근할 수 있다는 것까지는 이해되는데, default가 헷갈리네요. default가 같은 package에서 접근할 수 있다는 건데, 같은 package에 sub-class도 접근할 수 있나요??
April 18, 2018, 11:08 PM, 남재창 : 9번 답변에 나온 표상으로는 같은 package에 sub-class까지'만' 접근 가능한 것으로 이해하면 됩니다.
April 18, 2018, 11:09 PM, 남재창 : projected는 다른 다른 패키지안에서 super class를 extends했을 경우에서도 접근이 가능하단 말이고요.
April 18, 2018, 11:09 PM, 남재창 : 궁금하면 실제로 코드로 돌려보면 알 수 있음.
April 18, 2018, 11:10 PM, 남재창 : 그런데 9번 문제에서 저 표 안 그려도 됨.
April 18, 2018, 11:10 PM, 남재창 : 그냥 저런 건 코딩하면서 익히기 바람...하다보면 맨날 헷갈림....
April 18, 2018, 11:11 PM, 남재창 : 그냥 private이란 public만 구분해서 잘 쓰면 됨.
April 18, 2018, 11:11 PM, 남재창 : 대게의 경우는...
April 18, 2018, 11:11 PM, 남재창 : 대게 말고 대개...
April 18, 2018, 11:11 PM, 남재창 : 대게는 영덕대게 할 때 그 대게고...;;;;
April 18, 2018, 11:11 PM, 정희석 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
April 18, 2018, 11:12 PM, 성빈 : 감사합니다 교수님~
April 18, 2018, 11:12 PM, 남재창 : 희석이는 여자친구 자랑하나 프사...
April 18, 2018, 11:12 PM, 송창우(SCW) : 
April 18, 2018, 11:13 PM, 정희석 : ㅎㅎ..익명으로 들어오겠습니다
April 18, 2018, 11:13 PM, 남재창 : 익명이면 뭐해 사진이 있는데...ㅎㅎㅎ
April 18, 2018, 11:14 PM, 남재창 : 창우는 그런식으로 솔로인거 굳이 티 안 내도 됨 ㅎㅎ...아 솔로 아닌가...
April 18, 2018, 11:15 PM, 김기범 : 
April 18, 2018, 11:16 PM, 정희석 : 교수님 역시 친근한 선배님같아요 
April 18, 2018, 11:25 PM, 성빈 : 저희 문제 22번까지 있지않나요..? 21번 22번이 사라졌어요!!
April 18, 2018, 11:25 PM, 남재창 : 누가 실수로 지웠나보네
April 18, 2018, 11:26 PM, 김기범 : 그거 문제 겹치는거 교수님께서 지우신다고 하지 않았어요??
April 18, 2018, 11:26 PM, ㅇ : 없어진거는 overriding이라 겹치는 부분이 아닌것 같아요
April 18, 2018, 11:27 PM, 남재창 : 이승용 학생이 지웠는데...
April 18, 2018, 11:27 PM, 남재창 : 다시 복구

April 19, 2018, 12:54 AM
April 19, 2018, 12:54 AM, 이승용 : 아 죄송합니다..
April 19, 2018, 12:55 AM, 남재창 : No problem. Google doc has its original history so we could recover it :)
April 19, 2018, 5:53 AM, 재호17 : 교수님 책에 나온 예제에 쭉 읽어보다가 문득 헷갈려서 시험과는 별 관련없는 것 같지만 여쭐게 생겼습니다
April 19, 2018, 5:54 AM, 재호17 : system.out.printfln에서 마지막에 printf/println/print 이 세가지로 각각 넣으면 어떻게 처리되는지 궁금합니다
April 19, 2018, 6:24 AM, 남재창 : 어떻게 처리된다는게 무슨말이지? 전부 문자열 출력인데. ln으로 끝나는건 엔터가 추가되는 거고 printf로 시작하는 건 c 문법처럼, 출력하겠다는거고...
April 19, 2018, 8:37 AM, 도영 : 교수님! 중간고사때 컴퓨터 사용하나요??
April 19, 2018, 8:49 AM, 남재창 : 아뇨
April 19, 2018, 8:49 AM, 남재창 : 필기
April 19, 2018, 8:49 AM, 남재창 : 볼펜들고와요
April 19, 2018, 8:49 AM, 박세은 : 네 교수님!
April 19, 2018, 8:49 AM, 도영 : 넵!
April 19, 2018, 8:54 AM, 이승용 : 모두들 화이팅!
April 19, 2018, 8:54 AM, 남재창 : 화이링~~~
April 19, 2018, 9:00 AM, 송창우(SCW) : 
April 19, 2018, 9:03 AM, 도영 : 
April 19, 2018, 9:13 AM, ㅇ : 
April 19, 2018, 9:26 AM, Synergy : 
April 19, 2018, 9:30 AM, 김기범 : 파이팅~
April 19, 2018, 10:42 AM, 한정섭 : 교수님 마지막 comment문제에서 name이 아니라 sales같은 변수 들어가야되지 않나요?
April 19, 2018, 10:43 AM, 21500002 : 오타나신듯
April 19, 2018, 10:45 AM, 남재창 : 이거 답과 관련된거라 내가 답을 할 수 없음. 알아서 푸시오.
April 19, 2018, 10:45 AM, 정희석 : 이상없던거같던뎅..
April 19, 2018, 10:45 AM, 남재창 : 이제 그만
April 19, 2018, 10:45 AM, 한정섭 : 아 저 시험지는 이미 제출하고 나왔습니다 시험중에 여쭤봐서 죄송합니다
April 19, 2018, 10:46 AM, 남재창 : ㅇㅇ
April 19, 2018, 11:34 AM, 남재창 : 시험 보느라 수고했어요. 숙제도 잘 마무리하고, 남은 시험도 잘 봐요.
April 19, 2018, 11:35 AM, 김대교 : 부분점수없겠죠...??ㅠㅠ
April 19, 2018, 11:35 AM, 김기범 : 숙제가...있았나요...??
April 19, 2018, 11:36 AM, 송창우(SCW) : 내일까지 lab09번 인가 일거에요
April 19, 2018, 11:38 AM, 남재창 : 부분점수 있음
April 19, 2018, 11:41 AM, 김기범 : 아 그게 내일까지였구나
April 19, 2018, 11:41 AM, 김기범 : 감사합니다.!
April 19, 2018, 11:49 AM, 김대교 : (이모티콘)

April 20, 2018, 6:10 PM
April 20, 2018, 6:10 PM, 남재창 : 숙제 잘 하고 있나요?
April 20, 2018, 6:10 PM, 남재창 : array 를 ArrayList 로 바꿔주기만하면 되는 건데...
April 20, 2018, 6:12 PM, 남재창 : team[i].getName() 이부분인 [Salesman의 인스턴스 명).getName()으로만 바뀌면 되는건데...물론 루프 돌면서 멈추는 while 로직이 필요하지요. 그건 수업시간에 예제가 있으니 그대로 하면 되고요.
April 20, 2018, 6:12 PM, 남재창 : getSales도 마찬가지...
April 20, 2018, 6:12 PM, 남재창 : for구문이 for-each 구문으로 바뀌기만 하면 되는거고요.
April 20, 2018, 6:16 PM, 남재창 : 35분에 나가자
April 20, 2018, 6:16 PM, 남재창 : 아 쏘리소리~~~~
April 20, 2018, 6:17 PM, 남재창 : 저는 35분에 나갈겁니다..숙제 열심히 하십시오!
April 20, 2018, 6:17 PM, 도영 : 넵...!
April 20, 2018, 6:18 PM, 도영 : 
April 20, 2018, 6:21 PM, Synergy : ㅋㅋㅋ감사합니다~!!
April 20, 2018, 6:22 PM, ㅇ : ㅋㅋㅋㄱㅋ넵 알겠습니다 감사합니다!
April 20, 2018, 6:41 PM, 최동현 : ㅋㅋㅋㅋㅋ 감사합니다 교수님~!
April 20, 2018, 9:01 PM, 박세은 : 과제 09번의 array의 선언 SalesAssociate team[] 부분도 ppt에 나와있는 것 처럼 Array<String> team 이렇게 고치는게 맞나요..?
April 20, 2018, 9:14 PM, 이현지 : <> 안에는 클래스타입을 넣을 수 있어서 SalesAssociate도 가능해요! ArrayList<SalesAssociate> 가능합니다!
April 20, 2018, 9:15 PM, 박세은 : 아아..! 감사합니다!!
April 20, 2018, 9:16 PM, 이현지 : (굿)
April 20, 2018, 9:22 PM, 21500002 : 갓현지;

April 21, 2018, 7:35 AM
April 21, 2018, 7:35 AM, 남재창 : 중간고사 채점 끝났어요. 갓현지; 최고점(19.8). 최저점 (13). 만점이 한, 둘은 나올 줄 알았는데 안나와서 아쉽. 개인 점수 Google Sheet 확인하세요. 뭐가 틀렸는지 적혀있고, 혹시 점수가 예상보다 많이 나왔거나 덜 나와서 시험지를 확인하고 싶은 학생은 내 홈페이지 가면 캘린터 나오니까 언제쯤 올지 알려주고 찾아오세요. 오늘(토요일) 오전 11:30까지 학교에 있을 예정. 평균은 안알랴줌.
April 21, 2018, 7:39 AM, 남재창 : 그리고, 영어분반이 한글분반이랑 문제가 거의 같았는데, 영어분반 친구들이 문제 뭐 나왔냐 물어보면 알려주면 안돼요. 내가 미리 이야기를 못해준 잘못도 있는데, 앞으로 조심하세요. 괜히 이런 일로 애매해지는 상황이 생기면, 친구들이 힘들어집니다.
April 21, 2018, 7:44 AM, 남재창 : 혹시, 일찍 기상한 친구 중 학관에서 아침 같이 먹을 사람 있어요? 한 8시 반쯤?
April 21, 2018, 8:30 AM, 김기범 : 교수님 감사합니다! 방금일어나서 ㅠㅠ식사ㅜ맛있게 드세요!
April 21, 2018, 8:40 AM, 한정섭 : 수고하셨습니다 교수님 저도 방금 일어나서 ㅠ
April 21, 2018, 11:21 AM, 남재창 : 채점하다가 빵 터졌었는데, 객체: 치킨요리, 클래스: 치킨요리 레서피. 인스턴스: 레시피대로 요리해서 만든 치킨요리...ㅎㅎㅎ 창의력이 돋보임.
April 21, 2018, 11:23 AM, 21500002 : OOP를 잘 이해하고 있는 학우분이네요 ㅋㅋ
April 21, 2018, 11:25 AM, 남재창 : 내 말이...

April 23, 2018, 5:10 PM
April 23, 2018, 5:10 PM, 남재창 : 2018년도 하계 캠프가 개설됐어요. 소중대에서 하는 캠프도 있고 지역선도사업에서 하는 캠프가 있어요. 히즈넷 3116, 3117 확인하면 되요. 선착순이니 관심있는 캠프 있으면 생각해보세요.
April 23, 2018, 5:28 PM, 박세은 : 정보 감사드립니다 교수님!
April 23, 2018, 5:36 PM, 한정섭 : 감사합니다
April 23, 2018, 5:36 PM, 이승용 : 감사합니다 교수님!

April 26, 2018, 10:53 AM
April 26, 2018, 10:53 AM, ㅇ : 교수님 오늘 한 salesAssociate comparable코드도 github에 올려주시나요..?
April 26, 2018, 10:58 AM, ㅇ : 감사합니다..!
April 26, 2018, 2:28 PM, 남재창 : 오늘  Comparable을 Salesman에 적용시킨 코드입니다.
April 26, 2018, 2:28 PM, 남재창 : https://github.com/lifove/SalesReporter/tree/master/src/main/java/edu/handong/csee/java/example
April 26, 2018, 2:31 PM, 21500002 : 캬 잘생기셨습니다
April 26, 2018, 2:32 PM, 김기범 : 감사합니다. 교수님!
April 26, 2018, 2:35 PM, 남재창 : 중간고사 점수가 18점 이하인 친구들과 17점 이하인 친구들 중 위의 레포지리를 본인에 githubdp fork 한 후 Comparable 구현한 것을 Sales로 소팅하게 수정 제일 먼저하는 학생에게 중간고사 점수 보너스로 0.5에서 1점 드립니다. 선착순 1명 17.x인 구는 0.5점이고 16.x이하 친구들은 1점을 줄게요.
April 26, 2018, 2:36 PM, 남재창 : 깃허브 커밋 시간으로 순위를 매길겁니다.
April 26, 2018, 2:36 PM, 남재창 : 다 한 사람은 메일로 알려주세요.
April 26, 2018, 2:56 PM, 남재창 : 아 18점 이하가 0.5좀 17점 이하가 1점이요.
April 26, 2018, 2:56 PM, 남재창 : 선착순 2명할게요.

April 27, 2018, 8:49 AM
April 27, 2018, 8:49 AM, 남재창 : 아직 선착순 한 사람 아무도 없음…;;;
April 27, 2018, 8:50 AM, 정희석 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅌ
April 27, 2018, 8:50 AM, 남재창 : 선착순 대상은 아닌데 했다고 한 사람은 있었는데….;;;
April 27, 2018, 8:53 AM, 박세은 : 눈치 싸움 했나봅니다...!
April 27, 2018, 12:26 PM, 도영 : 포크하신분이 많길래 하다가 말았는데...ㅠ
April 27, 2018, 12:27 PM, 남재창 : 아직까지도 메일로 했다는 연락 못받음
April 27, 2018, 12:28 PM, 남재창 : ;;;
April 27, 2018, 11:06 PM, 이현지 : ㅋㅋㅋㅋㅋ오늘 점호방송 잘들었습니다 교수님😁
April 27, 2018, 11:11 PM, 남재창 : 부꾸러
...난 팀애들 볼 수 있다그래서ㅜ신청했는데, 그거 하라고 해서;;;
April 27, 2018, 11:12 PM, 21500002 : ㅋㅋㅋㅋㅋㅋㅋㅋ
April 27, 2018, 11:29 PM, 박세은 : 다른 rc라 못들어 뭇 아쉽습니다
April 27, 2018, 11:29 PM, 박세은 : !

April 29, 2018, 2:54 PM
April 29, 2018, 2:54 PM, 남재창 : 1-7숙제 3번은 abtract  class나와요. 내일 배우니까 다른 문제 먼저푸세요. (혹시 숙제 미리하는 친구 abstract class보고 당황할까봐...지난 시간에 다 진도 나갔어야 했는데...)
April 29, 2018, 3:02 PM, 남재창 : 그리고 예제 코드는 이름 컨밴션을 따르지 않는 코드에요. 함정들이 있으니, 꼭 클래스명 메소드명 변수명 컨벤션을 따르도록 수정해요. (Hint. Prob1 에서 WhatFriend() 메소드 이름 컨벤션을 따르지 않고 있는 거 알죠? 이런 문제들 다 찾아서 수정해야 해요. 안그러면 채점 기준에 따라 감점이 있으니 조심해요~~~)
April 29, 2018, 8:03 PM, 박세은 : 넵 교수님!! 감사합니다
April 29, 2018, 8:04 PM, 남재창 : 그리고 아직 선착순 아무도 안함 TT
April 29, 2018, 8:05 PM, 남재창 : 다들 바쁜건지 아니면 1점을 위해 시간을 쏟기가 싫은건지...10분이면 할 수 있는 건데...
April 29, 2018, 8:05 PM, 박세은 : 지금 해보겠습니다..!!

April 30, 2018, 12:28 AM
April 30, 2018, 12:28 AM, 남재창 : 선착순 2명 중 한명 받았아요. 이제 한명만 더 받을게요.
April 30, 2018, 6:44 AM, 남재창 : 선착순 끝이에요. 이따가 수업시간에 만나요 :)
April 30, 2018, 8:04 AM, Synergy : 수업때 뵙겠습니다~!
April 30, 2018, 10:14 AM, 유정연 : 그럼 Exception e 에서 e는 임의로 지정하면 되나요?
April 30, 2018, 10:23 AM, 박세은 : 답변 : 마음대로 해도 되지만 대개 e 로 쓴다
April 30, 2018, 10:50 AM, 이현지 : 교수님 5월 10일 목요일입니다..
April 30, 2018, 10:51 AM, 이승용 : ...
April 30, 2018, 5:38 PM, 한정섭 : 저희 다음주 월요일 수업하나요..?
April 30, 2018, 5:45 PM, 남재창 : 다음주 월요일은 휴일이라 수업이 없습니다.
April 30, 2018, 5:46 PM, 정희석 : 
April 30, 2018, 5:46 PM, 도영 : 
April 30, 2018, 5:46 PM, 김기범 : 
April 30, 2018, 5:46 PM, 21500002 : 허걱스
April 30, 2018, 5:46 PM, 21500002 : 넘나아쉬운것
April 30, 2018, 5:47 PM, 정희석 : ...?
April 30, 2018, 5:47 PM, Java_Lov : 
April 30, 2018, 5:47 PM, 남재창 : 쉬면 나도 좋음...나는 서울에 계신 부모님께 인사드리러 감 다음날이 어버이 날이라...집에 안가는 사람들은 부모님께 감자의 전화라도 드리세요.
April 30, 2018, 5:47 PM, 남재창 : 감자->감사;;;;ㅎㅎ
April 30, 2018, 5:48 PM, 이현지 : 오오예~~
April 30, 2018, 6:05 PM, 한정섭 : 감사합니다 :)

May 1, 2018, 11:30 PM
May 1, 2018, 11:30 PM, Synergy : 교수님!! 늦은시간에 죄송합니다만.. lab13 p6의 의도가 instanceOf를 사용하여 UpPoint와 DownPoint를 분별하는것을 보이는건가요??
May 1, 2018, 11:37 PM, 김기범 : 그런거같아요
May 1, 2018, 11:46 PM, 남재창 : 네 interface인 CapitalPrint를 구현하는 클래스와 그렇지 않은 클래스가 어떻게 구분 될 수 있는 경험하는 문제에요. 덤으로 궁극의 객체인 Object과 어떻게 일반적으로 쓰이는지 경험 할 수 있고요.
May 1, 2018, 11:47 PM, Synergy : 아~ 네 알겠습니다! 감사합니다!!

May 2, 2018, 1:13 AM
May 2, 2018, 1:13 AM, 21500002 : <Photo>
May 2, 2018, 1:13 AM, 21500002 : 뭐가 문제일까요.. 코드오류는 없는거같은데
May 2, 2018, 1:14 AM, 이준범(zech) : 나갔다가 다시 이클립스 실행시켜 보세요
May 2, 2018, 1:15 AM, 21500002 : 와
May 2, 2018, 1:15 AM, 21500002 : 갓..
May 2, 2018, 1:15 AM, 21500002 : 당신은 도덕책
May 2, 2018, 1:15 AM, 21500002 : 감사합니다
May 2, 2018, 5:03 PM, 유정연 : 지금
May 2, 2018, 5:03 PM, 유정연 : 정전인데
May 2, 2018, 5:03 PM, 유정연 : 푸쉬를못하고있어요 8ㅅ8
May 2, 2018, 5:13 PM, 이승용 : 핫스팟이라도
May 2, 2018, 5:16 PM, 유정연 : 핫스팟을 못써요 8ㅅ8
May 2, 2018, 5:20 PM, 최동현 : 저도 정전땜에 멘붕왓네요 ㅠㅠ
May 2, 2018, 5:21 PM, 도영 : 저녁까지는 고쳐지지않을까합니다..ㅠ
May 2, 2018, 5:21 PM, 한정섭 : 지금 불들온거같은데
May 2, 2018, 5:23 PM, 송창우(SCW) : 비상등 들어왔는데 다른건 안 들어온거 같아요
May 2, 2018, 5:23 PM, 한정섭 : 그렇군요
May 2, 2018, 6:48 PM, 남재창 : 숙제 데드라인 두시간 연장할게요 밤 열두시까지
May 2, 2018, 6:48 PM, 박세은 : 감사합니다 교수님..!
May 2, 2018, 6:50 PM, 송창우(SCW) : 
May 2, 2018, 6:55 PM, 박세은 : <Photo>
May 2, 2018, 6:55 PM, 박세은 : 교수님 질문이 있어 여쭙숩니다. 올린 스크린 샷에서 Book은 메소드인가요..? 메소드로 보기에는 반환형이 없고, 또 이름 첫문자를 소문자로 수정하면 에러가 나는데 만일 메소드가 아니라면 무엇인가요?
May 2, 2018, 6:56 PM, 남재창 : 컨스트럭터에요.
May 2, 2018, 6:57 PM, 박세은 : 앗 감사합니다..!!

May 7, 2018, 5:25 PM
May 7, 2018, 5:25 PM, 한정섭 : 교수님 class 만들때 ExceptionTest
Exception_test 둘다 naming convention 지켜진건가요?
May 7, 2018, 5:30 PM, 한정섭 : 그리고 class이름에 숫자들어가도 괞찮나요? Problem1 이런식으로요
May 7, 2018, 5:56 PM, 남재창 : 가급적이면 ExceptionTest이렇게 써요.
May 7, 2018, 5:57 PM, 남재창 : Problem1이라고 써도 그닥 상관없어요.
May 7, 2018, 5:58 PM, 남재창 : 대신 메소드 이름은 동사로 시작
May 7, 2018, 6:07 PM, 한정섭 : 넵 감사합니다

May 8, 2018, 3:26 PM
May 8, 2018, 3:26 PM, 남재창 :  이번주 목요일에 수업있으니까 헷갈리지 마세요~~~
May 8, 2018, 3:26 PM, 이승용 : 네!
May 8, 2018, 3:36 PM, 한정섭 : 넵
May 8, 2018, 3:36 PM, Java_Lov : 넵~
May 8, 2018, 3:50 PM, 정희석 : 네
May 8, 2018, 3:50 PM, 최동현 : 네넵!

May 9, 2018, 11:41 PM
May 9, 2018, 11:41 PM, 한정섭 : 교수님 맥으로 eclipse설치하는법 구글 드라이브에 올라와 있나요?
May 9, 2018, 11:42 PM, 남재창 : 아뇨. 그냥 이클리스 사이츠트가서 설치 프로그램으로깔면 설정 없이 쉽게 깔림.

May 11, 2018, 11:59 AM
May 11, 2018, 11:59 AM, 남재창 : 맥 사용자 이클립스 설치 가이드
May 11, 2018, 11:59 AM, 남재창 : https://docs.google.com/presentation/d/1RFAlJ07aYyQOPhMH5IqZ-yOREOtZBIqa4ECwi4_yvi8/edit#slide=id.p
May 11, 2018, 12:13 PM, 21500002 : 감사합니다
May 11, 2018, 12:18 PM, 정희석 : 감사합니다!
May 11, 2018, 12:27 PM, 한정섭 : 감사합니다
May 11, 2018, 1:11 PM, 이승용 : 감사합니다

May 14, 2018, 10:38 AM
